date,city,precip_mm,rainy_day,year,month
2018-01-01,New Orleans,0.0,0,2018,1
2018-01-02,New Orleans,0.0,0,2018,1
2018-01-03,New Orleans,0.0,0,2018,1
2018-01-04,New Orleans,0.0,0,2018,1
2018-01-05,New Orleans,0.0,0,2018,1
2018-01-06,New Orleans,0.0,0,2018,1
2018-01-07,New Orleans,6.095999999999999,1,2018,1
2018-01-08,New Orleans,31.75,1,2018,1
2018-01-09,New Orleans,0.254,1,2018,1
2018-01-10,New Orleans,7.112,1,2018,1
2018-01-11,New Orleans,11.937999999999999,1,2018,1
2018-01-12,New Orleans,0.254,1,2018,1
2018-01-13,New Orleans,0.0,0,2018,1
2018-01-14,New Orleans,0.0,0,2018,1
2018-01-15,New Orleans,0.0,0,2018,1
2018-01-16,New Orleans,1.27,1,2018,1
2018-01-17,New Orleans,0.0,0,2018,1
2018-01-18,New Orleans,0.0,0,2018,1
2018-01-19,New Orleans,0.0,0,2018,1
2018-01-20,New Orleans,0.508,1,2018,1
2018-01-21,New Orleans,0.0,0,2018,1
2018-01-22,New Orleans,0.0,0,2018,1
2018-01-23,New Orleans,0.0,0,2018,1
2018-01-24,New Orleans,0.0,0,2018,1
2018-01-25,New Orleans,0.0,0,2018,1
2018-01-26,New Orleans,0.508,1,2018,1
2018-01-27,New Orleans,55.88,1,2018,1
2018-01-28,New Orleans,0.0,0,2018,1
2018-01-29,New Orleans,0.0,0,2018,1
2018-01-30,New Orleans,0.0,0,2018,1
2018-01-31,New Orleans,0.0,0,2018,1
2018-02-01,New Orleans,0.0,0,2018,2
2018-02-02,New Orleans,1.778,1,2018,2
2018-02-03,New Orleans,4.826,1,2018,2
2018-02-04,New Orleans,3.556,1,2018,2
2018-02-05,New Orleans,0.0,0,2018,2
2018-02-06,New Orleans,1.5239999999999998,1,2018,2
2018-02-07,New Orleans,12.7,1,2018,2
2018-02-08,New Orleans,0.254,1,2018,2
2018-02-09,New Orleans,0.0,0,2018,2
2018-02-10,New Orleans,2.032,1,2018,2
2018-02-11,New Orleans,10.668,1,2018,2
2018-02-12,New Orleans,0.254,1,2018,2
2018-02-13,New Orleans,0.0,0,2018,2
2018-02-14,New Orleans,0.0,0,2018,2
2018-02-15,New Orleans,0.0,0,2018,2
2018-02-16,New Orleans,0.0,0,2018,2
2018-02-17,New Orleans,0.0,0,2018,2
2018-02-18,New Orleans,0.0,0,2018,2
2018-02-19,New Orleans,0.0,0,2018,2
2018-02-20,New Orleans,0.0,0,2018,2
2018-02-21,New Orleans,0.0,0,2018,2
2018-02-22,New Orleans,0.0,0,2018,2
2018-02-23,New Orleans,21.336,1,2018,2
2018-02-24,New Orleans,0.0,0,2018,2
2018-02-25,New Orleans,3.302,1,2018,2
2018-02-26,New Orleans,16.256,1,2018,2
2018-02-27,New Orleans,0.0,0,2018,2
2018-02-28,New Orleans,0.0,0,2018,2
2018-03-01,New Orleans,0.0,0,2018,3
2018-03-02,New Orleans,0.0,0,2018,3
2018-03-03,New Orleans,0.0,0,2018,3
2018-03-04,New Orleans,0.0,0,2018,3
2018-03-05,New Orleans,0.0,0,2018,3
2018-03-06,New Orleans,27.178,1,2018,3
2018-03-07,New Orleans,0.0,0,2018,3
2018-03-08,New Orleans,0.0,0,2018,3
2018-03-09,New Orleans,0.0,0,2018,3
2018-03-10,New Orleans,1.27,1,2018,3
2018-03-11,New Orleans,14.985999999999999,1,2018,3
2018-03-12,New Orleans,0.0,0,2018,3
2018-03-13,New Orleans,0.0,0,2018,3
2018-03-14,New Orleans,0.0,0,2018,3
2018-03-15,New Orleans,0.0,0,2018,3
2018-03-16,New Orleans,0.0,0,2018,3
2018-03-17,New Orleans,0.7619999999999999,1,2018,3
2018-03-18,New Orleans,0.508,1,2018,3
2018-03-19,New Orleans,0.0,0,2018,3
2018-03-20,New Orleans,0.0,0,2018,3
2018-03-21,New Orleans,0.0,0,2018,3
2018-03-22,New Orleans,0.0,0,2018,3
2018-03-23,New Orleans,0.0,0,2018,3
2018-03-24,New Orleans,0.0,0,2018,3
2018-03-25,New Orleans,0.0,0,2018,3
2018-03-26,New Orleans,0.0,0,2018,3
2018-03-27,New Orleans,0.0,0,2018,3
2018-03-28,New Orleans,0.0,0,2018,3
2018-03-29,New Orleans,31.496,1,2018,3
2018-03-30,New Orleans,0.0,0,2018,3
2018-03-31,New Orleans,0.0,0,2018,3
2018-04-01,New Orleans,0.0,0,2018,4
2018-04-02,New Orleans,0.0,0,2018,4
2018-04-03,New Orleans,0.0,0,2018,4
2018-04-04,New Orleans,17.525999999999996,1,2018,4
2018-04-05,New Orleans,0.0,0,2018,4
2018-04-06,New Orleans,0.0,0,2018,4
2018-04-07,New Orleans,19.304,1,2018,4
2018-04-08,New Orleans,0.508,1,2018,4
2018-04-09,New Orleans,0.0,0,2018,4
2018-04-10,New Orleans,0.0,0,2018,4
2018-04-11,New Orleans,0.0,0,2018,4
2018-04-12,New Orleans,0.0,0,2018,4
2018-04-13,New Orleans,0.0,0,2018,4
2018-04-14,New Orleans,101.092,1,2018,4
2018-04-15,New Orleans,0.0,0,2018,4
2018-04-16,New Orleans,0.0,0,2018,4
2018-04-17,New Orleans,0.0,0,2018,4
2018-04-18,New Orleans,0.0,0,2018,4
2018-04-19,New Orleans,0.0,0,2018,4
2018-04-20,New Orleans,0.0,0,2018,4
2018-04-21,New Orleans,0.0,0,2018,4
2018-04-22,New Orleans,8.636000000000001,1,2018,4
2018-04-23,New Orleans,0.0,0,2018,4
2018-04-24,New Orleans,0.0,0,2018,4
2018-04-25,New Orleans,0.0,0,2018,4
2018-04-26,New Orleans,0.7619999999999999,1,2018,4
2018-04-27,New Orleans,0.0,0,2018,4
2018-04-28,New Orleans,0.0,0,2018,4
2018-04-29,New Orleans,0.0,0,2018,4
2018-04-30,New Orleans,0.0,0,2018,4
2018-05-01,New Orleans,0.0,0,2018,5
2018-05-02,New Orleans,0.0,0,2018,5
2018-05-03,New Orleans,0.0,0,2018,5
2018-05-04,New Orleans,0.0,0,2018,5
2018-05-05,New Orleans,0.0,0,2018,5
2018-05-06,New Orleans,0.0,0,2018,5
2018-05-07,New Orleans,0.0,0,2018,5
2018-05-08,New Orleans,0.0,0,2018,5
2018-05-09,New Orleans,0.0,0,2018,5
2018-05-10,New Orleans,0.0,0,2018,5
2018-05-11,New Orleans,0.0,0,2018,5
2018-05-12,New Orleans,0.0,0,2018,5
2018-05-13,New Orleans,0.0,0,2018,5
2018-05-14,New Orleans,0.0,0,2018,5
2018-05-15,New Orleans,1.016,1,2018,5
2018-05-16,New Orleans,0.0,0,2018,5
2018-05-17,New Orleans,0.0,0,2018,5
2018-05-18,New Orleans,5.08,1,2018,5
2018-05-19,New Orleans,0.0,0,2018,5
2018-05-20,New Orleans,0.0,0,2018,5
2018-05-21,New Orleans,0.0,0,2018,5
2018-05-22,New Orleans,0.0,0,2018,5
2018-05-23,New Orleans,0.508,1,2018,5
2018-05-24,New Orleans,5.08,1,2018,5
2018-05-25,New Orleans,31.241999999999997,1,2018,5
2018-05-26,New Orleans,0.0,0,2018,5
2018-05-27,New Orleans,0.254,1,2018,5
2018-05-28,New Orleans,0.0,0,2018,5
2018-05-29,New Orleans,0.508,1,2018,5
2018-05-30,New Orleans,0.0,0,2018,5
2018-05-31,New Orleans,0.0,0,2018,5
2018-06-01,New Orleans,1.27,1,2018,6
2018-06-02,New Orleans,0.0,0,2018,6
2018-06-03,New Orleans,0.0,0,2018,6
2018-06-04,New Orleans,0.0,0,2018,6
2018-06-05,New Orleans,27.178,1,2018,6
2018-06-06,New Orleans,0.0,0,2018,6
2018-06-07,New Orleans,0.0,0,2018,6
2018-06-08,New Orleans,12.7,1,2018,6
2018-06-09,New Orleans,0.0,0,2018,6
2018-06-10,New Orleans,0.0,0,2018,6
2018-06-11,New Orleans,21.843999999999998,1,2018,6
2018-06-12,New Orleans,29.971999999999998,1,2018,6
2018-06-13,New Orleans,9.398,1,2018,6
2018-06-14,New Orleans,0.0,0,2018,6
2018-06-15,New Orleans,0.0,0,2018,6
2018-06-16,New Orleans,22.352,1,2018,6
2018-06-17,New Orleans,2.794,1,2018,6
2018-06-18,New Orleans,30.733999999999998,1,2018,6
2018-06-19,New Orleans,0.0,0,2018,6
2018-06-20,New Orleans,0.0,0,2018,6
2018-06-21,New Orleans,0.0,0,2018,6
2018-06-22,New Orleans,0.0,0,2018,6
2018-06-23,New Orleans,0.0,0,2018,6
2018-06-24,New Orleans,0.0,0,2018,6
2018-06-25,New Orleans,0.0,0,2018,6
2018-06-26,New Orleans,0.0,0,2018,6
2018-06-27,New Orleans,0.254,1,2018,6
2018-06-28,New Orleans,0.0,0,2018,6
2018-06-29,New Orleans,0.0,0,2018,6
2018-06-30,New Orleans,13.716,1,2018,6
2018-07-01,New Orleans,17.018,1,2018,7
2018-07-02,New Orleans,0.508,1,2018,7
2018-07-03,New Orleans,23.368,1,2018,7
2018-07-04,New Orleans,0.0,0,2018,7
2018-07-05,New Orleans,1.5239999999999998,1,2018,7
2018-07-06,New Orleans,33.528,1,2018,7
2018-07-07,New Orleans,1.27,1,2018,7
2018-07-08,New Orleans,1.016,1,2018,7
2018-07-09,New Orleans,8.128,1,2018,7
2018-07-10,New Orleans,0.0,0,2018,7
2018-07-11,New Orleans,0.0,0,2018,7
2018-07-12,New Orleans,0.0,0,2018,7
2018-07-13,New Orleans,0.0,0,2018,7
2018-07-14,New Orleans,0.0,0,2018,7
2018-07-15,New Orleans,0.0,0,2018,7
2018-07-16,New Orleans,17.525999999999996,1,2018,7
2018-07-17,New Orleans,0.254,1,2018,7
2018-07-18,New Orleans,6.35,1,2018,7
2018-07-19,New Orleans,0.0,0,2018,7
2018-07-20,New Orleans,0.0,0,2018,7
2018-07-21,New Orleans,0.0,0,2018,7
2018-07-22,New Orleans,0.0,0,2018,7
2018-07-23,New Orleans,0.0,0,2018,7
2018-07-24,New Orleans,4.064,1,2018,7
2018-07-25,New Orleans,0.7619999999999999,1,2018,7
2018-07-26,New Orleans,0.0,0,2018,7
2018-07-27,New Orleans,0.0,0,2018,7
2018-07-28,New Orleans,2.032,1,2018,7
2018-07-29,New Orleans,0.0,0,2018,7
2018-07-30,New Orleans,7.619999999999999,1,2018,7
2018-07-31,New Orleans,6.35,1,2018,7
2018-08-01,New Orleans,0.0,0,2018,8
2018-08-02,New Orleans,23.114,1,2018,8
2018-08-03,New Orleans,54.864,1,2018,8
2018-08-04,New Orleans,10.668,1,2018,8
2018-08-05,New Orleans,0.0,0,2018,8
2018-08-06,New Orleans,16.509999999999998,1,2018,8
2018-08-07,New Orleans,0.0,0,2018,8
2018-08-08,New Orleans,0.0,0,2018,8
2018-08-09,New Orleans,0.0,0,2018,8
2018-08-10,New Orleans,1.5239999999999998,1,2018,8
2018-08-11,New Orleans,0.7619999999999999,1,2018,8
2018-08-12,New Orleans,0.0,0,2018,8
2018-08-13,New Orleans,0.0,0,2018,8
2018-08-14,New Orleans,0.0,0,2018,8
2018-08-15,New Orleans,0.0,0,2018,8
2018-08-16,New Orleans,4.571999999999999,1,2018,8
2018-08-17,New Orleans,22.605999999999998,1,2018,8
2018-08-18,New Orleans,23.114,1,2018,8
2018-08-19,New Orleans,3.556,1,2018,8
2018-08-20,New Orleans,5.842,1,2018,8
2018-08-21,New Orleans,43.18,1,2018,8
2018-08-22,New Orleans,0.0,0,2018,8
2018-08-23,New Orleans,0.0,0,2018,8
2018-08-24,New Orleans,0.0,0,2018,8
2018-08-25,New Orleans,1.016,1,2018,8
2018-08-26,New Orleans,0.254,1,2018,8
2018-08-27,New Orleans,15.493999999999998,1,2018,8
2018-08-28,New Orleans,3.556,1,2018,8
2018-08-29,New Orleans,0.0,0,2018,8
2018-08-30,New Orleans,2.794,1,2018,8
2018-08-31,New Orleans,17.525999999999996,1,2018,8
2018-09-01,New Orleans,14.477999999999998,1,2018,9
2018-09-02,New Orleans,1.016,1,2018,9
2018-09-03,New Orleans,0.7619999999999999,1,2018,9
2018-09-04,New Orleans,1.5239999999999998,1,2018,9
2018-09-05,New Orleans,0.7619999999999999,1,2018,9
2018-09-06,New Orleans,4.571999999999999,1,2018,9
2018-09-07,New Orleans,0.0,0,2018,9
2018-09-08,New Orleans,0.0,0,2018,9
2018-09-09,New Orleans,0.0,0,2018,9
2018-09-10,New Orleans,2.794,1,2018,9
2018-09-11,New Orleans,2.54,1,2018,9
2018-09-12,New Orleans,0.0,0,2018,9
2018-09-13,New Orleans,0.508,1,2018,9
2018-09-14,New Orleans,0.0,0,2018,9
2018-09-15,New Orleans,0.254,1,2018,9
2018-09-16,New Orleans,0.0,0,2018,9
2018-09-17,New Orleans,0.0,0,2018,9
2018-09-18,New Orleans,0.0,0,2018,9
2018-09-19,New Orleans,2.794,1,2018,9
2018-09-20,New Orleans,27.178,1,2018,9
2018-09-21,New Orleans,0.0,0,2018,9
2018-09-22,New Orleans,3.0479999999999996,1,2018,9
2018-09-23,New Orleans,0.0,0,2018,9
2018-09-24,New Orleans,4.3180000000000005,1,2018,9
2018-09-25,New Orleans,3.8099999999999996,1,2018,9
2018-09-26,New Orleans,1.778,1,2018,9
2018-09-27,New Orleans,4.3180000000000005,1,2018,9
2018-09-28,New Orleans,4.064,1,2018,9
2018-09-29,New Orleans,2.54,1,2018,9
2018-09-30,New Orleans,6.858,1,2018,9
2018-10-01,New Orleans,0.0,0,2018,10
2018-10-02,New Orleans,0.0,0,2018,10
2018-10-03,New Orleans,9.906,1,2018,10
2018-10-04,New Orleans,0.0,0,2018,10
2018-10-05,New Orleans,0.0,0,2018,10
2018-10-06,New Orleans,0.0,0,2018,10
2018-10-07,New Orleans,1.27,1,2018,10
2018-10-08,New Orleans,25.145999999999997,1,2018,10
2018-10-09,New Orleans,5.08,1,2018,10
2018-10-10,New Orleans,0.0,0,2018,10
2018-10-11,New Orleans,0.0,0,2018,10
2018-10-12,New Orleans,0.0,0,2018,10
2018-10-13,New Orleans,0.0,0,2018,10
2018-10-14,New Orleans,0.0,0,2018,10
2018-10-15,New Orleans,10.413999999999998,1,2018,10
2018-10-16,New Orleans,1.5239999999999998,1,2018,10
2018-10-17,New Orleans,0.0,0,2018,10
2018-10-18,New Orleans,0.0,0,2018,10
2018-10-19,New Orleans,0.0,0,2018,10
2018-10-20,New Orleans,4.3180000000000005,1,2018,10
2018-10-21,New Orleans,0.0,0,2018,10
2018-10-22,New Orleans,0.508,1,2018,10
2018-10-23,New Orleans,10.921999999999999,1,2018,10
2018-10-24,New Orleans,0.0,0,2018,10
2018-10-25,New Orleans,61.214,1,2018,10
2018-10-26,New Orleans,0.0,0,2018,10
2018-10-27,New Orleans,0.0,0,2018,10
2018-10-28,New Orleans,0.0,0,2018,10
2018-10-29,New Orleans,0.0,0,2018,10
2018-10-30,New Orleans,0.0,0,2018,10
2018-10-31,New Orleans,0.0,0,2018,10
2018-11-01,New Orleans,65.532,1,2018,11
2018-11-02,New Orleans,0.0,0,2018,11
2018-11-03,New Orleans,0.0,0,2018,11
2018-11-04,New Orleans,40.386,1,2018,11
2018-11-05,New Orleans,0.0,0,2018,11
2018-11-06,New Orleans,1.27,1,2018,11
2018-11-07,New Orleans,5.334,1,2018,11
2018-11-08,New Orleans,0.0,0,2018,11
2018-11-09,New Orleans,6.604,1,2018,11
2018-11-10,New Orleans,0.0,0,2018,11
2018-11-11,New Orleans,0.0,0,2018,11
2018-11-12,New Orleans,45.466,1,2018,11
2018-11-13,New Orleans,5.08,1,2018,11
2018-11-14,New Orleans,0.0,0,2018,11
2018-11-15,New Orleans,0.0,0,2018,11
2018-11-16,New Orleans,0.0,0,2018,11
2018-11-17,New Orleans,0.0,0,2018,11
2018-11-18,New Orleans,0.0,0,2018,11
2018-11-19,New Orleans,1.778,1,2018,11
2018-11-20,New Orleans,2.794,1,2018,11
2018-11-21,New Orleans,0.0,0,2018,11
2018-11-22,New Orleans,0.0,0,2018,11
2018-11-23,New Orleans,1.27,1,2018,11
2018-11-24,New Orleans,0.0,0,2018,11
2018-11-25,New Orleans,12.446,1,2018,11
2018-11-26,New Orleans,0.0,0,2018,11
2018-11-27,New Orleans,0.0,0,2018,11
2018-11-28,New Orleans,0.0,0,2018,11
2018-11-29,New Orleans,0.0,0,2018,11
2018-11-30,New Orleans,4.571999999999999,1,2018,11
2018-12-01,New Orleans,4.064,1,2018,12
2018-12-02,New Orleans,0.0,0,2018,12
2018-12-03,New Orleans,0.0,0,2018,12
2018-12-04,New Orleans,0.0,0,2018,12
2018-12-05,New Orleans,0.0,0,2018,12
2018-12-06,New Orleans,0.0,0,2018,12
